timestamp,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18
10108,7228,6479,0,3863,7052,6873,10142,1189
10283,7264,6536,0,3890,7056,6875,10105,1151
10457,7275,6541,-1,3897,7059,6871,10126,1146
10631,7274,6532,0,3898,7067,6861,10175,1157
10805,7266,6510,-1,3897,7066,6842,10165,1159
10978,7156,6007,0,3306,-159,734,-6852,-573
11153,-3179,-5170,0,-856,-10083,-5053,-6855,-851
11327,-6541,-7107,-1,-2710,-10083,-6556,-6856,-1279
11502,-9913,-6437,0,-4732,-10082,-10208,-6857,-1541
11677,-9913,-7869,0,-6937,-10083,-10156,-6858,-2131
11852,6976,6044,0,3757,7013,6701,10207,1215
12026,7207,6457,0,3837,7029,6882,10008,1204
12200,7231,6537,0,3811,6939,6915,8292,1195
12374,7241,6547,0,3818,6969,6919,9085,1192
12548,7244,6546,0,3826,6978,6907,9222,1199
12721,7203,6445,0,3549,1478,6668,-6852,1003
12896,-2059,-3873,0,-3384,-5975,-4247,-6855,-1107
13071,-6712,-4586,0,-3121,-10082,-4759,-6859,-1400
13246,-9913,-6024,0,-4977,-10084,-4819,-6858,-1661
13421,-9913,-6939,1,-6300,-10083,-10206,-6857,-1675
13598,6245,5744,1,2772,5223,6658,8894,1176
13772,7193,6435,16660,3833,7039,6836,10187,1205
13946,7234,6488,16866,3866,7059,6863,10213,1183
14120,7252,6518,16948,3888,7067,6858,10219,1167
14294,7256,6511,16982,3893,7072,6844,10243,1174
14467,7241,6454,16891,3878,7060,6811,10214,1186
14641,7103,5865,3867,3079,-1653,1566,-6852,-887
14815,-3569,-5086,0,-1715,-10081,-10202,-6856,-1289
14990,-9912,-5463,-1,-3487,-10083,-10202,-6857,-1746
15165,-9913,-7588,0,-6406,-10082,-10207,-6857,-1940
15341,-9914,-7446,1,-6376,-9986,-10208,-6858,-1781
15516,6942,5846,15732,3763,6928,6575,10175,1209
15690,7120,6170,16542,3808,7013,6650,10232,1210
15864,7158,6336,16689,3829,7052,6776,10272,1210
16038,7187,6404,16804,3850,7065,6810,10276,1203
16212,7201,6406,16858,3860,7071,6788,10282,1204
16386,7173,6315,16521,3828,6949,6625,9985,1169
16559,5879,5035,0,-842,-3294,-5370,-6854,-943
16734,-6481,-7589,1,-3189,-10082,-8960,-6857,-1297
16908,-9914,-8438,0,-4758,-10083,-10205,-6857,-1724
17083,-9914,-10526,0,-6171,-10082,-10213,-6857,-1726
17258,-9910,4918,1,-4162,1396,6077,8698,1176
17432,7145,6351,16580,3825,7038,6781,10223,1203
17606,7209,6437,16911,3863,7072,6819,10272,1187
17780,7228,6455,16951,3874,7079,6814,10282,1189
17954,7224,6439,16922,3876,7080,6794,10285,1200
18128,7184,6320,16652,3847,7363,6530,10094,1163
18301,6318,3021,1,227,6143,-6311,-6854,-824
18476,-9911,-10520,0,-2423,-10080,-10206,-6856,-1132
18651,-9913,-10526,0,-3447,-10088,-10214,-6863,-1525
18826,-9915,-10527,0,-5989,-10085,-10211,-6862,-1709
19001,-9914,-8591,1,-6348,-7563,-10219,-6863,-1633
19179,6707,5799,12016,3699,6918,6437,10209,1204
19353,7114,6285,16698,3812,7052,6686,10281,1214
19528,7137,6279,16750,3820,7054,6692,10281,1212
19702,7135,6237,16812,3824,7063,6664,10287,1212
19875,7015,5813,11966,3679,6315,5092,4095,1017
20049,2670,-5032,0,-2525,-5401,-10204,-6859,-1037
20225,-9914,-7238,0,-3981,-10085,-10207,-6859,-1143
20400,-9914,-10529,1,-6337,-10086,-10211,-6861,-1516
20575,-9915,-10530,1,-6415,-10085,-10215,-6861,-1631
20751,-920,4498,0,-235,-10069,6316,8137,1182
20926,7143,6327,16681,3826,7043,6776,10238,1206
21099,7166,6377,16774,3828,7049,6816,10236,1208
21273,7206,6434,16889,3852,7065,6841,10247,1200
21447,7210,6441,16887,3850,7064,6844,10243,1203
21621,7208,6425,16882,3854,7066,6824,10254,1206
21795,7171,6318,16480,3816,6932,6587,9858,1159
21968,6376,3301,0,556,-3609,-6672,-6856,-893
22143,-9910,-6621,1,-3780,-7045,-10209,-6859,-1093
22319,-9913,-9399,1,-5256,-10084,-10208,-6859,-1478
22494,-9914,-10528,1,-6731,-10083,-10213,-6860,-1606
22670,-9915,-10531,1,-6620,-10084,-10210,-6859,-988
22844,7064,6142,16504,3808,7025,6664,10233,1198
23018,7176,6367,16910,3851,7073,6786,10284,1193
23192,7225,6464,16995,3876,7090,6816,10281,1167
23366,7234,6478,17007,3882,7095,6804,10287,1166
23539,7227,6422,16999,3883,7087,6663,10262,1128
23713,7128,5880,9193,3506,-650,-4272,-2549,-899
23888,-4585,-8026,0,-899,-10081,-10205,-6858,-1377
24062,-9914,-10531,1,-3160,-10083,-10213,-6859,-1734
24237,-9914,-10531,0,-4825,-10085,-10211,-6859,-1784
24412,-9915,-10531,1,-6472,-10084,-10215,-6860,-1830
24587,6931,5820,15989,3773,6985,6557,10243,1212
24761,7149,6332,16777,3823,7363,6755,10273,1210
24934,7171,6379,16862,3839,7362,6796,10284,1201
25108,7205,6425,16948,3855,7363,6826,10274,1196
25282,7195,6421,16838,3838,7362,6806,10267,1210
25456,7109,6180,14289,3727,6652,6203,6403,922
25629,5246,-10529,1,-2694,-4947,-10202,-6857,-1145
25804,-9913,-7515,1,-3504,-10083,-6863,-6859,-1440
25980,-9914,-6934,1,-5897,-10085,-10210,-6860,-1696
26154,-9915,-10528,2,-6791,-10084,-10213,-6860,-1655
26329,-9915,-10534,2,-6550,-10073,2824,-2215,1181
26504,7108,6296,16347,3800,7027,6730,10210,1211
26677,7171,6381,16778,3844,7065,6809,10266,1202
26851,7220,6458,16922,3870,7361,6830,10274,1190
27025,7237,6488,16965,3883,7361,6829,10274,1182
27199,7232,6464,16932,3878,7361,6798,10282,1194
27372,7147,5938,10534,3754,7361,3163,-2265,-508
27546,-3567,-3987,0,-1303,-9470,-10203,-6858,-1013
27721,-9914,-10528,0,-2683,-10084,-10211,-6858,-1321
27896,-9915,-10533,0,-5127,-10084,-10213,-6859,-1669
28071,-9915,-10535,-1,-6216,-10083,-10213,-6858,-1692
28247,6979,6105,15442,3720,7168,6721,10189,1208
28421,7193,6425,16858,3855,7059,6824,10248,1200
28594,7228,6453,16960,3875,7072,6830,10268,1189
28768,7233,6451,16960,3875,7072,6829,10269,1197
28942,7228,6448,16935,3875,7071,6816,10270,1199
29116,7156,6099,9626,3578,2175,2847,-2970,-565
29290,-5457,-6275,1,-1908,-4520,-7635,-6857,-1022
29465,-9914,-5587,0,-3758,-10077,-10206,-6859,-1415
29640,-9914,-8726,2,-4975,-10083,-10214,-6859,-1674
29814,-9915,-10534,0,-6853,-5556,-8308,-6859,-178
29989,7146,6250,16642,3836,7040,6731,10228,1196
30162,7237,6465,16956,3882,7087,6842,10248,1184
30336,7249,6511,16919,3883,7068,6854,10221,1183
30510,7245,6483,16908,3879,7069,6848,10231,1191
30684,7230,6449,16828,3865,7059,6831,10220,1204
30857,7184,6370,16049,3806,6915,6669,9495,1169
31031,6837,4130,0,1866,-4460,-4757,-6855,-1073
31206,-8700,-6590,1,-6876,-3078,-10210,-6858,-1369
31381,-9911,-10527,-1,-9105,-5179,-10208,-6858,-1493
31556,-9912,-10531,0,-9385,-10082,-10214,-6859,-1727
31731,-9912,-10534,1,-7172,-10083,-10213,-6861,-1620
31906,7005,6034,16483,3820,7031,6664,10264,1208
32080,7240,6493,16961,3881,7073,6852,10221,1175
32254,7253,6524,16956,3889,7073,6857,10232,1170
32428,7259,6509,17008,3901,7089,6832,10257,1158
32601,7260,6487,17016,3904,7360,6800,10278,1162
32775,7247,6353,15715,3869,6470,6092,-6148,459
32949,6687,472,1,783,-4877,-10194,-6857,-1196
33124,-6145,-6089,1,-1694,-6090,-10212,-6858,-1305
33299,-9913,-6336,0,-3900,-10083,-10210,-6859,-1598
33475,-9913,-8014,1,-6519,-10083,-10214,-6860,-1901
33650,-9916,-10538,1,-7007,-10083,-6225,-6858,235
33825,7167,6272,16575,3841,7238,6694,10191,1171
33999,7242,6421,16955,3893,7092,6802,10255,1175
34172,7254,6476,16956,3892,7080,6845,10245,1185
34346,7246,6474,16881,3876,7077,6846,10249,1195
34520,7243,6474,16880,3878,7084,6847,10255,1199
34693,7228,6430,16786,3870,7061,6802,10251,1207
34867,7154,6188,15771,3809,6949,6572,10111,1193
35041,6905,5428,3827,3422,5142,5731,4796,1129
35215,6752,4767,1,3297,4261,5097,1907,1112
35389,6767,4895,1,3442,5726,4965,8105,1136
35563,6649,5075,1,3327,6052,5430,9463,1161
